PathInput,Hostname,NAME,DESCR,PID,VID,SN
AYA-2-DR_202.28.31.209_20230313-1430,RP/0/RSP0/CPU0:AYA-2-DR,GigabitEthernet0/0/0/34,1000BASE-T SFP transceiver module for Category 5 copper wire,GLC-TE,"V03,",MTC25190889
AYA-2-DR_202.28.31.209_20230313-1430,RP/0/RSP0/CPU0:AYA-2-DR,GigabitEthernet0/0/0/35,"1000BASE-LX/LH SFP transceiver module, MMF/SMF, 1310nm, DOM",GLC-LH-SMD,"V02,",OPM25230SEE
AYA-2-DR_202.28.31.209_20230313-1430,RP/0/RSP0/CPU0:AYA-2-DR,TenGigE0/0/0/36,"10GBASE-LR SFP Module, Enterprise-Class",SFP-10G-LR-S,"V01,",FNS25260DTJ
AYA-2-DR_202.28.31.209_20230313-1430,RP/0/RSP0/CPU0:AYA-2-DR,TenGigE0/0/0/37,"10GBASE-LR SFP Module, Enterprise-Class",SFP-10G-LR-S,"V01,",FNS25260DTS
AYA-2-DR_202.28.31.209_20230313-1430,RP/0/RSP0/CPU0:AYA-2-DR,TenGigE0/0/0/38,"10GBASE-LR SFP Module, Enterprise-Class",SFP-10G-LR-S,"V01,",FNS25260DUR
AYA-2-DR_202.28.31.209_20230313-1430,RP/0/RSP0/CPU0:AYA-2-DR,TenGigE0/0/0/39,"10GBASE-ER SFP Module, Enterprise-Class",SFP-10G-ER-S,"V01,",FNS25190604
AYA-2-DR_202.28.31.209_20230313-1430,RP/0/RSP0/CPU0:AYA-2-DR,TenGigE0/0/0/40,"10GBASE-LR SFP Module, Enterprise-Class",SFP-10G-LR-S,"V01,",FNS25260DTA
AYA-2-DR_202.28.31.209_20230313-1430,RP/0/RSP0/CPU0:AYA-2-DR,TenGigE0/0/0/41,"10GBASE-LR SFP Module, Enterprise-Class",SFP-10G-LR-S,"V01,",FNS25260CY8
AYA-2-DR_202.28.31.209_20230313-1430,RP/0/RSP0/CPU0:AYA-2-DR,TenGigE0/0/0/42,"10GBASE-LR SFP Module, Enterprise-Class",SFP-10G-LR-S,"V01,",FNS25260DTQ
AYA-2-DR_202.28.31.209_20230313-1430,RP/0/RSP0/CPU0:AYA-2-DR,TenGigE0/0/0/43,"10GBASE-LR SFP Module, Enterprise-Class",SFP-10G-LR-S,"V01,",FNS25260CZL
AYA-2-DR_202.28.31.209_20230313-1430,RP/0/RSP0/CPU0:AYA-2-DR,TenGigE0/0/0/44,"10GBASE-ER SFP Module, Enterprise-Class",SFP-10G-ER-S,"V01,",FNS251905LK
AYA-2-DR_202.28.31.209_20230313-1430,RP/0/RSP0/CPU0:AYA-2-DR,TenGigE0/0/0/45,"10GBASE-ER SFP Module, Enterprise-Class",SFP-10G-ER-S,"V01,",FNS251905PD
AYA-2-DR_202.28.31.209_20230313-1430,RP/0/RSP0/CPU0:AYA-2-DR,TenGigE0/0/0/46,"10GBASE-ZR SFP Module, Enterprise-Class",SFP-10G-ZR-S,"V01,",SPC2526002A
